increase torque,,,,,,,,,,,,,o/p power,i/p power,motor eff,,,,,
No.,Voltmeter 1,Voltmeter 2,Voltmeter 3,Ammeter 1,Ammeter 2,Ammeter 3,UM1,UM2,UM3,Torque Nm,Speed rpm,rad/second,P=T?,P=I1V1,o/p / i/p,slip efficiency,,,,
1,383,23,382,0.346,0.39,0.326,90,-123.7,0.339,0.118,2946,308.5043986,36.40351903,132.518,0.274706221,0.018,,,0.018,0.274706221
2,384,1,381,0.345,0.4,0.325,91,-129,0.354,0.124,2946,308.5043986,38.25454542,132.48,0.288757136,0.018,,,0.018,0.288757136
3,383,1,379,0.365,0.56,0.342,126,-81.2,0.467,0.209,2917,305.4675257,63.84271287,139.795,0.456688099,0.027666667,,,0.027666667,0.456688099
4,382,1,382,0.384,0.68,0.362,141,-83.2,0.494,0.287,2896,303.2684108,87.0380339,146.688,0.593354834,0.034666667,,,0.034666667,0.593354834
5,382,1,381,0.433,0.86,0.407,174,-78.8,0.541,0.383,2849,298.3465823,114.266741,165.406,0.690825853,0.050333333,,,0.050333333,0.690825853
6,384,1,381,0.445,0.97,0.407,204,-140.3,0.623,0.447,2844,297.8229836,133.1268736,170.88,0.779066442,0.052,,,0.052,0.779066442
7,383,1,381,0.489,1.24,0.459,254,-70.1,0.698,0.529,2803,293.5294736,155.2770915,187.287,0.82908633,0.065666667,,,0.065666667,0.82908633
8,382,1,381,0.493,1.25,0.482,255,-90.1,0.681,0.62,2785,291.644518,180.8196012,188.326,0.960141463,0.071666667,,,0.071666667,0.960141463
9,383,1,380,0.538,1.35,0.506,285,-64.5,0.712,0.712,2755,288.5029253,205.4140828,206.054,0.99689442,0.081666667,,,0.081666667,0.99689442
10,383,1,378,0.595,1.55,0.557,322,-69.6,0.731,0.779,2710,283.7905364,221.0728278,227.885,0.970106974,0.096666667,,,0.096666667,0.970106974
11,383,1,380,0.58,1.58,0.556,323,-59.7,0.741,0.829,2710,283.7905364,235.2623546,222.14,1.059072453,0.096666667,,,0.096666667,1.059072453
12,383,1,380,0.649,1.83,0.61,364,-58,0.756,0.928,2656,278.1356696,258.1099014,248.567,1.038391667,0.114666667,,,0.114666667,1.038391667
13,383,1,378,0.712,1.95,0.681,410,-55.7,0.771,1.014,2605,272.7949621,276.6140915,272.696,1.014367983,0.131666667,,,0.131666667,1.014367983
14,381,1,381,0.717,2.08,0.69,419,-71.3,0.779,1.076,2591,271.3288855,291.9498808,273.177,1.068720576,0.136333333,,,0.136333333,1.068720576
15,382,1,382,0.754,2.21,0.717,444,-54.5,0.787,1.168,2569,269.0250509,314.2212594,288.028,1.090939976,0.143666667,,,0.143666667,1.090939976
16,382,1,380,0.816,2.41,0.783,485,-74.6,0.793,1.257,2511,262.9513051,330.5297905,311.712,1.060369156,0.163,,,0.163,1.060369156
17,383,1,381,0.859,2.55,0.83,527,-71.3,0.812,1.324,2467,258.3436359,342.0469739,328.997,1.039665936,0.177666667,,,0.177666667,1.039665936
18,382,1,381,0.887,2.66,0.86,541,-51.5,0.808,1.39,2429,254.3642852,353.5663564,338.834,1.043479569,0.190333333,,,0.190333333,1.043479569
19,382,1,380,0.909,2.77,0.877,549,-51.2,0.802,1.487,2411,252.4793296,375.4367631,347.238,1.081208748,0.196333333,,,0.196333333,1.081208748
20,382,1,380,0.962,2.93,0.934,590,-50.6,0.812,1.525,2360,247.1386221,376.8863987,367.484,1.025585872,0.213333333,,,0.213333333,1.025585872
21,383,1,378,1.027,3.18,1.021,640,-57.2,0.817,1.649,2259,236.5619268,390.0906173,393.341,0.991736476,0.247,,,0.247,0.991736476
22,382,1,380,1.051,3.3,1.042,653,-55.5,0.816,1.702,2239,234.4675317,399.063739,401.482,0.993976664,0.253666667,,,0.253666667,0.993976664
23,382,1,379,1.081,3.5,1.067,677,-48.6,0.824,1.787,2173,227.5560279,406.6426218,412.942,0.984745126,0.275666667,,,0.275666667,0.984745126
24,383,1,379,1.125,3.84,1.119,716,-79.2,0.834,1.918,2020,211.5339053,405.7220304,430.875,0.941623511,0.326666667,,,0.326666667,0.941623511
25,382,1,378,1.137,3.88,1.116,711,-48.6,0.826,1.916,2000,209.4395102,401.2861016,434.334,0.923911325,0.333333333,,,0.333333333,0.923911325
