3.2,,,,,,,,,,,
No.,Voltmeter 1,Voltmeter 2,Voltmeter 3,Ammeter 1,Ammeter 2,Ammeter 3,UM1,UM2,UM3 ,Torque Nm,Speed rpm
1,2,1,2,0.013,0.03,0.009,0,-47.8,0.801,0.111,0
2,3,1,2,0.022,0.06,0.015,0,-47.8,0.834,0.106,0
3,7,1,6,0.042,0.13,0.037,1,-47.8,0.86,0.103,0
4,11,1,10,0.068,0.21,0.06,1,-47.8,0.88,0.102,0
5,13,1,12,0.078,0.24,0.072,2,-47.8,0.883,0.103,0
6,18,1,17,0.118,0.34,0.106,4,-47.8,0.895,0.102,0
7,21,1,20,0.127,0.4,0.12,5,-47.8,0.892,0.103,0
8,24,1,23,0.156,0.46,0.139,7,-47.8,0.897,0.103,0
9,28,1,27,0.171,0.56,0.166,9,-47.8,0.896,0.104,0
10,30,1,29,0.181,0.58,0.174,10,-47.8,0.897,0.104,0
11,32,1,31,0.208,0.64,0.203,12,-47.8,0.898,0.105,0
12,35,1,34,0.217,0.7,0.21,14,-47.8,0.899,0.106,0
13,40,1,39,0.257,0.79,0.248,19,-47.8,0.901,0.108,0
14,43,1,42,0.278,0.85,0.274,22,-47.8,0.901,0.109,0
15,46,1,45,0.298,0.93,0.289,25,-47.8,0.902,0.11,0
16,48,1,47,0.299,0.96,0.289,26,-47.8,0.902,0.11,0
17,49,1,48,0.302,0.98,0.292,27,-47.8,0.902,0.11,0
18,51,1,50,0.315,1.02,0.308,30,-47.8,0.902,0.11,0
